"","id","submitdate","LOSUJ","IgnacySlawekEkrPow","Gender","Birth","Education","Education_other","Philosophical_Education","Previous_survey","GROUP","CHAIRMAN_ATTITUDE","ATTITUDE"
"1334",1356,"1980-01-01 00:00:00",10,NA,"Kobieta",1988,"Wyższe","","Nie","Nie","Help","Dyrektor aprobuje szkodzenie","Dezaprobuję postawę dyrektora"
"1337",1359,"1980-01-01 00:00:00",9,NA,"Kobieta",1992,"Wyższe","","Tak","Nie","Harm","Dyrektor jest obojętny","Jestem obojętny wobec postawy dyrektora"
"1345",1367,"",10,NA,"",NA,"","","","","Help","0","0"
"1348",1370,"",9,NA,"",NA,"","","","","Harm","0","0"
"1352",1374,"",9,NA,"",NA,"","","","","Harm","0","0"
"1370",1392,"1980-01-01 00:00:00",9,NA,"Mężczyzna",1966,"Wyższe","","Nie","Nie","Harm","Dyrektor dezaprobuje pomaganie","Dezaprobuję postawę dyrektora"
"1391",1413,"1980-01-01 00:00:00",9,NA,"Mężczyzna",1992,"Wyższe","","Nie","Nie","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"1394",1416,"1980-01-01 00:00:00",10,NA,"Kobieta",1984,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"1447",1469,"",9,NA,"",NA,"","","","","Harm","0","0"
"1455",1477,"",10,NA,"",NA,"","","","","Help","0","0"
"1489",1515,"",10,NA,"",NA,"","","","","Help","0","0"
"1491",1517,"",10,NA,"",NA,"","","","","Help","0","0"
"1505",1531,"1980-01-01 00:00:00",9,NA,"Mężczyzna",1993,"Wyższe","","Nie","Nie","Harm","Dyrektor jest obojętny","Jestem obojętny wobec postawy dyrektora"
"1512",1538,"",9,NA,"",NA,"","","","","Harm","0","0"
"1516",1542,"",9,NA,"",NA,"","","","","Harm","0","0"
"1524",1550,"",9,NA,"",NA,"","","","","Harm","0","0"
"1530",1557,"",9,NA,"",NA,"","","","","Harm","0","0"
"1537",1564,"",9,NA,"",NA,"","","","","Harm","0","0"
"1565",1592,"1980-01-01 00:00:00",10,NA,"Kobieta",1991,"Średnie","","Nie","Nie","Help","Dyrektor jest obojętny","Aprobuję postawę dyrektora"
"1568",1595,"1980-01-01 00:00:00",10,NA,"Kobieta",1993,"Średnie","","Nie","Nie","Help","Dyrektor jest obojętny","Jestem obojętny wobec postawy dyrektora"
"1574",1601,"1980-01-01 00:00:00",9,NA,"Mężczyzna",1989,"Wyższe","","Tak","Nie","Harm","Dyrektor jest obojętny","Jestem obojętny wobec postawy dyrektora"
"1575",1602,"1980-01-01 00:00:00",10,NA,"Kobieta",1991,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"1601",1629,"1980-01-01 00:00:00",9,NA,"Kobieta",1991,"Wyższe","","Nie","Tak","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"1619",1647,"1980-01-01 00:00:00",9,NA,"Kobieta",1994,"Wyższe","","Nie","Nie","Harm","Dyrektor jest obojętny","Jestem obojętny wobec postawy dyrektora"
"1622",1650,"1980-01-01 00:00:00",10,NA,"Mężczyzna",1993,"Średnie","","Nie","Nie","Help","Dyrektor jest obojętny","Jestem obojętny wobec postawy dyrektora"
"1647",1676,"",9,NA,"",NA,"","","","","Harm","0","0"
"1656",1685,"",9,NA,"",NA,"","","","","Harm","0","0"
"1664",1693,"1980-01-01 00:00:00",9,NA,"Kobieta",1990,"Wyższe","","Tak","Nie","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
