"","id","submitdate","LOSUJ","IgnacySlawekEkrPow","Gender","Birth","Education","Education_other","Philosophical_Education","Previous_survey","GROUP","CHAIRMAN_ATTITUDE","ATTITUDE"
"2138",2170,"1980-01-01 00:00:00",10,NA,"Mężczyzna",1973,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"2142",2174,"",10,NA,"",NA,"","","","","Help","0","0"
"2143",2175,"",9,NA,"",NA,"","","","","Harm","0","0"
"2146",2178,"",10,NA,"",NA,"","","","","Help","0","0"
"2147",2179,"1980-01-01 00:00:00",10,NA,"Kobieta",1958,"Wyższe","","Nie","Nie","Help","Dyrektor aprobuje szkodzenie","Dezaprobuję postawę dyrektora"
"2157",2189,"1980-01-01 00:00:00",9,NA,"Mężczyzna",1998,"Podstawowe","","Nie","Nie","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"2171",2203,"",10,NA,"",NA,"","","","","Help","0","0"
"2174",2206,"1980-01-01 00:00:00",10,NA,"Kobieta",1957,"Wyższe","","Nie","Nie","Help","Dyrektor aprobuje szkodzenie","Dezaprobuję postawę dyrektora"
"2182",2214,"",10,NA,"",NA,"","","","","Help","0","0"
"2198",2230,"1980-01-01 00:00:00",9,NA,"Mężczyzna",1989,"Wyższe","","Tak","Nie","Harm","Dyrektor jest obojętny","Jestem obojętny wobec postawy dyrektora"
"2202",2234,"",9,NA,"",NA,"","","","","Harm","0","0"
"2207",2239,"1980-01-01 00:00:00",9,NA,"Kobieta",2003,"Średnie","","Nie","Nie","Harm","Dyrektor aprobuje szkodzenie","Dezaprobuję postawę dyrektora"
"2267",2299,"1980-01-01 00:00:00",10,NA,"Kobieta",1992,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"2299",2332,"1980-01-01 00:00:00",10,NA,"Kobieta",1994,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"2321",2354,"",10,NA,"",NA,"","","","","Help","0","0"
"2327",2360,"",9,NA,"",NA,"","","","","Harm","0","0"
"2334",2367,"",10,NA,"",NA,"","","","","Help","0","0"
"2344",2377,"",9,NA,"",NA,"","","","","Harm","0","0"
"2352",2385,"",10,NA,"",NA,"","","","","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"2359",2392,"1980-01-01 00:00:00",10,NA,"Kobieta",1995,"Wyższe","","Nie","Nie","Help","Dyrektor aprobuje szkodzenie","Dezaprobuję postawę dyrektora"
"2362",2395,"",9,NA,"",NA,"","","","","Harm","0","0"
"2388",2422,"",9,NA,"",NA,"","","","","Harm","0","0"
"2393",2427,"",9,NA,"",NA,"","","","","Harm","0","0"
"2403",2437,"1980-01-01 00:00:00",10,NA,"Kobieta",1989,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"2409",2443,"",10,NA,"",NA,"","","","","Help","0","0"
"2411",2446,"",9,NA,"",NA,"","","","","Harm","0","0"
"2422",2457,"",10,NA,"",NA,"","","","","Help","0","0"
"2431",2466,"",10,NA,"",NA,"","","","","Help","0","0"
"2440",2475,"",10,NA,"",NA,"","","","","Help","0","0"
"2447",2482,"",9,NA,"",NA,"","","","","Harm","0","0"
